ITER        ENERGY         DIFF
   0     110.90238    0.114E+02-0.55883E+01 0.19209E+02
   1      89.98940    0.271E+01-0.12163E+02 0.17670E+02
   2      89.88895    0.113E+00-0.12350E+02 0.17641E+02
   3      89.88822    0.846E-02-0.12334E+02 0.17642E+02
   4      89.88822    0.751E-03-0.12335E+02 0.17642E+02
   5      89.88822    0.656E-04-0.12335E+02 0.17642E+02
   6      89.88822    0.574E-05-0.12335E+02 0.17642E+02
   7      89.88822    0.503E-06-0.12335E+02 0.17642E+02
   8      89.88822    0.440E-07-0.12335E+02 0.17642E+02
   9      89.88822    0.385E-08-0.12335E+02 0.17642E+02
  10      89.88822    0.337E-09-0.12335E+02 0.17642E+02
  11      89.88822    0.295E-10-0.12335E+02 0.17642E+02
