ITER        ENERGY         DIFF
   0      25.36077    0.254E+02
   1      25.25237   -0.108E+00
   2      25.19574   -0.566E-01
   3      25.16663   -0.291E-01
   4      25.15180   -0.148E-01
   5      25.14430   -0.750E-02
   6      25.14052   -0.378E-02
   7      25.13862   -0.190E-02
   8      25.13767   -0.953E-03
   9      25.13719   -0.478E-03
  10      25.13695   -0.239E-03
  11      25.13683   -0.120E-03
  12      25.13677   -0.599E-04
  13      25.13674   -0.300E-04
  14      25.13673   -0.150E-04
  15      25.13672   -0.749E-05
  16      25.13672   -0.375E-05
  17      25.13671   -0.187E-05
  18      25.13671   -0.937E-06
  19      25.13671   -0.468E-06
  20      25.13671   -0.234E-06
  21      25.13671   -0.117E-06
  22      25.13671   -0.586E-07

