b vs Ground State Energy for different Hamiltonian Dimension
This uses 2000 points of Simpson integration for the mtx elements
Look at E0vsb.ps for visual representation of the data.

b    N=2         N=5        N=10        N=20         N=50
0.1 38.4860204 16.3095389 7.65605737 3.14992531 0.590260887 
0.2 7.71031566 2.69851328 0.88634284 0.0123761744 -0.404231844 
0.3 2.5541549 0.553319004 -0.100992785 -0.385073148 -0.488948384 
0.4 0.931354915 -0.0739320882 -0.362083723 -0.470987917 -0.498775702 
0.5 0.262423026 -0.309992686 -0.448307384 -0.492425072 -0.499812723 
0.6 -0.0572089415 -0.41055959 -0.47937381 -0.497731616 -0.499867059 
0.7 -0.224108289 -0.455794431 -0.490641748 -0.498838667 -0.49980766 
0.8 -0.316021489 -0.476059104 -0.494358268 -0.498840952 -0.499717506 
0.9 -0.368011789 -0.484325421 -0.495087568 -0.498512756 -0.499601926 
1.0 -0.397446702 -0.486583304 -0.494562533 -0.498035268 -0.499459319 
1.1 -0.413550027 -0.485734878 -0.49343469 -0.497447163 -0.499287557 
1.2 -0.421489265 -0.483225254 -0.491946146 -0.496754975 -0.499084586 
1.3 -0.424283841 -0.479784852 -0.490188696 -0.495958565 -0.498848493 
1.4 -0.423759675 -0.47578719 -0.488201018 -0.495056811 -0.49857753 
1.5 -0.421053934 -0.471427072 -0.486003784 -0.49404889 -0.498270022 
1.6 -0.416894021 -0.466810447 -0.483611873 -0.492934586 -0.497924736 
1.7 -0.411757262 -0.461999581 -0.481038476 -0.491714354 -0.497540367 
1.8 -0.405964835 -0.457035455 -0.478296402 -0.490389315 -0.497115847 
1.9 -0.399738231 -0.451948631 -0.475398441 -0.488961206 -0.496650281 
2.0 -0.393233814 -0.446764346 -0.472357409 -0.487432331 -0.496142934 
