# number of matrix elements
alot
n1 s1 n2 s2 n3 s3 n4 s4 Vbar
0 -1 0 -1 0 -1 0 -1 0
0 -1 0 -1 0 -1 0 1 0
0 -1 0 -1 0 -1 1 -1 0
0 -1 0 -1 0 -1 1 1 0
0 -1 0 -1 0 -1 2 -1 0
0 -1 0 -1 0 -1 2 1 0
0 -1 0 -1 0 1 0 -1 0
0 -1 0 -1 0 1 0 1 0
0 -1 0 -1 0 1 1 -1 0
0 -1 0 -1 0 1 1 1 0
0 -1 0 -1 0 1 2 -1 0
0 -1 0 -1 0 1 2 1 0
0 -1 0 -1 1 -1 0 -1 0
0 -1 0 -1 1 -1 0 1 0
0 -1 0 -1 1 -1 1 -1 0
0 -1 0 -1 1 -1 1 1 0
0 -1 0 -1 1 -1 2 -1 0
0 -1 0 -1 1 -1 2 1 0
0 -1 0 -1 1 1 0 -1 0
0 -1 0 -1 1 1 0 1 0
0 -1 0 -1 1 1 1 -1 0
0 -1 0 -1 1 1 1 1 0
0 -1 0 -1 1 1 2 -1 0
0 -1 0 -1 1 1 2 1 0
0 -1 0 -1 2 -1 0 -1 0
0 -1 0 -1 2 -1 0 1 0
0 -1 0 -1 2 -1 1 -1 0
0 -1 0 -1 2 -1 1 1 0
0 -1 0 -1 2 -1 2 -1 0
0 -1 0 -1 2 -1 2 1 0
0 -1 0 -1 2 1 0 -1 0
0 -1 0 -1 2 1 0 1 0
0 -1 0 -1 2 1 1 -1 0
0 -1 0 -1 2 1 1 1 0
0 -1 0 -1 2 1 2 -1 0
0 -1 0 -1 2 1 2 1 0
0 -1 0 1 0 -1 0 -1 0
0 -1 0 1 0 -1 0 1 12.6886
0 -1 0 1 0 -1 1 -1 0
0 -1 0 1 0 -1 1 1 6.49961
0 -1 0 1 0 -1 2 -1 0
0 -1 0 1 0 -1 2 1 3.05556
0 -1 0 1 0 1 0 -1 -12.6886
0 -1 0 1 0 1 0 1 0
0 -1 0 1 0 1 1 -1 -6.49961
0 -1 0 1 0 1 1 1 0
0 -1 0 1 0 1 2 -1 -3.05556
0 -1 0 1 0 1 2 1 0
0 -1 0 1 1 -1 0 -1 0
0 -1 0 1 1 -1 0 1 6.49961
0 -1 0 1 1 -1 1 -1 0
0 -1 0 1 1 -1 1 1 5.57867
0 -1 0 1 1 -1 2 -1 0
0 -1 0 1 1 -1 2 1 3.6921
0 -1 0 1 1 1 0 -1 -6.49961
0 -1 0 1 1 1 0 1 0
0 -1 0 1 1 1 1 -1 -5.57867
0 -1 0 1 1 1 1 1 0
0 -1 0 1 1 1 2 -1 -3.6921
0 -1 0 1 1 1 2 1 0
0 -1 0 1 2 -1 0 -1 0
0 -1 0 1 2 -1 0 1 3.05556
0 -1 0 1 2 -1 1 -1 0
0 -1 0 1 2 -1 1 1 3.6921
0 -1 0 1 2 -1 2 -1 0
0 -1 0 1 2 -1 2 1 3.15965
0 -1 0 1 2 1 0 -1 -3.05556
0 -1 0 1 2 1 0 1 0
