 # RPA eneriges:
         # Re(E)           Im(E)
#      0+
   49.8766537092   -0.0000000000
   26.9772336661    0.0000000000
   25.2063125470    0.0000000000
  -49.8766537092    0.0000000000
  -26.9772336661    0.0000000000
  -25.2063125470    0.0000000000
   24.5231213441    0.0000000000
  -24.5231213441    0.0000000000

#      1+
   50.0683867682    0.0000000000
  -50.0683867682    0.0000000000
   50.4731570238    0.0000000000
   28.2269593105    0.0000000000
  -28.2269593105    0.0000000000
  -50.4731570238    0.0000000000
   24.3554521998    0.0000000000
   29.7687436574    0.0000000000
   26.6277643294    0.0000000000
   25.0088781740    0.0000000000
   24.5231213441    0.0000000000
   24.7291437658    0.0000000000
  -29.7687436574    0.0000000000
  -24.3554521998    0.0000000000
  -26.6277643294    0.0000000000
  -25.0088781740    0.0000000000
  -24.5231213441    0.0000000000
  -24.7291437658    0.0000000000

#      2+
   50.4731570238    0.0000000000
   50.2228975701    0.0000000000
  -50.4731570238    0.0000000000
  -50.2228975701    0.0000000000
   29.7687436574    0.0000000000
  -29.7687436574    0.0000000000
   27.0340876521    0.0000000000
   26.6277643294    0.0000000000
  -27.0340876521    0.0000000000
   23.8419688911    0.0000000000
  -26.6277643294    0.0000000000
   24.7291437658    0.0000000000
   24.7954086491    0.0000000000
  -24.7954086491    0.0000000000
  -23.8419688911    0.0000000000
  -24.7291437658    0.0000000000
   25.9253544473    0.0000000000
   24.5231213441    0.0000000000
  -25.9253544473    0.0000000000
  -24.5231213441    0.0000000000

#      3+
  -50.4731570238    0.0000000000
   50.4731570238    0.0000000000
   29.7687436574    0.0000000000
  -29.7687436574    0.0000000000
  -24.7291437658    0.0000000000
  -26.6277643294    0.0000000000
   51.7481654455    0.0000000000
   26.6277643294    0.0000000000
   24.7291437658    0.0000000000
  -51.7481654455    0.0000000000
   26.4004534614    0.0000000000
  -26.4004534614    0.0000000000
   25.9253544473    0.0000000000
  -25.3265548098    0.0000000000
   25.3265548098    0.0000000000
  -25.9253544473    0.0000000000

#      4+
   51.7481654455   -0.0000000000
   51.0041771856    0.0000000000
   24.8325621296    0.0000000000
   26.4004534614    0.0000000000
  -51.7481654455    0.0000000000
  -51.0041771856    0.0000000000
  -24.8325621296    0.0000000000
  -26.4004534614    0.0000000000
   25.9253544473    0.0000000000
  -25.9253544473    0.0000000000

#      5+
   51.7481654455   -0.0000000000
   26.4004534614    0.0000000000
  -26.4004534614    0.0000000000
  -51.7481654455    0.0000000000

#      6+

#      0-
   39.6178019759   -0.0000000000
   16.1515633319    0.0000000000
   12.8360527071    0.0000000000
   35.3311159762    0.0000000000
   35.4436616983    0.0000000000
  -12.8360527071    0.0000000000
  -16.1515633319    0.0000000000
  -39.6178019759    0.0000000000
  -35.4436616983    0.0000000000
  -35.3311159762    0.0000000000

#      1-
   39.6178019759    0.0000000000
   39.1694966494    0.0000000000
  -39.6178019759    0.0000000000
   16.1515633319    0.0000000000
   10.4003736081    0.0000000000
   13.2034201539    0.0000000000
   12.8360527071    0.0000000000
  -39.1694966494    0.0000000000
   35.9012973774    0.0000000000
   35.3311159762    0.0000000000
   35.3343311457    0.0000000000
  -10.4003736081    0.0000000000
  -16.1515633319    0.0000000000
  -12.8360527071    0.0000000000
  -35.9012973774    0.0000000000
   35.4436616983    0.0000000000
  -13.2034201539    0.0000000000
  -35.4436616983    0.0000000000
  -35.3311159762    0.0000000000
  -35.3343311457    0.0000000000
   35.5323011981    0.0000000000
   13.9942258946    0.0000000000
  -13.9942258946    0.0000000000
  -35.5323011981    0.0000000000

#      2-
   39.6178019759    0.0000000000
  -39.6178019759    0.0000000000
   16.1515633319    0.0000000000
  -16.1515633319    0.0000000000
   12.8360527071    0.0000000000
  -12.8360527071    0.0000000000
   12.7926975760    0.0000000000
   13.9942258946    0.0000000000
   14.6095018067    0.0000000000
   41.0233295980    0.0000000000
  -12.7926975760    0.0000000000
  -14.6095018067    0.0000000000
  -13.9942258946    0.0000000000
  -41.0233295980    0.0000000000
  -35.3311159762    0.0000000000
  -35.4436616983    0.0000000000
   35.3311159762    0.0000000000
   35.4436616983    0.0000000000
   37.4501644614    0.0000000000
  -37.4501644614    0.0000000000
  -35.8736742527    0.0000000000
  -35.5323011981    0.0000000000
  -35.6768814397    0.0000000000
   35.8736742527    0.0000000000
   35.5323011981    0.0000000000
   35.6768814397    0.0000000000

#      3-
   12.0315376215    0.0000000000
   41.0233295980    0.0000000000
  -41.0233295980    0.0000000000
   14.6095018067    0.0000000000
  -12.0315376215    0.0000000000
  -39.7113841243    0.0000000000
  -14.6095018067    0.0000000000
   39.7113841243    0.0000000000
   37.4501644614    0.0000000000
  -37.4501644614    0.0000000000
   35.8830688938    0.0000000000
   35.7057415421    0.0000000000
   35.6768814397    0.0000000000
  -35.8830688938    0.0000000000
  -35.7057415421    0.0000000000
  -35.6768814397    0.0000000000
   13.9942258946    0.0000000000
  -13.9942258946    0.0000000000
   36.9088411490    0.0000000000
  -36.9088411490    0.0000000000
   35.5323011981    0.0000000000
  -35.5323011981    0.0000000000

#      4-
   14.6095018067    0.0000000000
  -14.6095018067    0.0000000000
   41.0233295980    0.0000000000
  -41.0233295980    0.0000000000
   35.6768814397    0.0000000000
   37.4501644614    0.0000000000
  -35.6768814397    0.0000000000
  -37.4501644614    0.0000000000
   36.5565691268    0.0000000000
   36.9088411490    0.0000000000
   37.2702514508    0.0000000000
  -37.2702514508    0.0000000000
  -36.9088411490    0.0000000000
  -36.5565691268    0.0000000000

#      5-
   36.1949620553    0.0000000000
   36.9088411490    0.0000000000
   37.2702514508    0.0000000000
  -36.1949620553    0.0000000000
  -37.2702514508    0.0000000000
  -36.9088411490    0.0000000000

#      6-
   37.2702514508    0.0000000000
  -37.2702514508   -0.0000000000

